"","joueur","equipe","clust"
"199","Saidou Sow","Saint-Étienne","1"
"200","Saîf-Eddine Khaoui","Clermont Foot","2"
"201","Salis Abdul Samed","Clermont Foot","2"
"202","Sambou Soumano","Lorient","1"
"203","Samuel Kalu","Bordeaux","1"
"204","Sanjin Prcić","Strasbourg","3"
"205","Sehrou Guirassy","Rennes","1"
"206","Seko Fofana","Lens","3"
"207","Sekou Mara","Bordeaux","1"
"208","Sepe Elye Wahi","Montpellier","1"
"209","Sergio Ramos","Paris S-G","1"
"210","Simon Banza","Lens","1"
"211","Sofiane Boufal","Angers","5"
"212","Sofiane Diop","Monaco","3"
"213","Stéphane Bahoken","Angers","1"
"214","Stephy Mavididi","Montpellier","3"
"215","Steve Mounié","Brest","3"
"216","Stian Rode Gregersen","Bordeaux","2"
"217","Sven Botman","Lille","2"
"218","Téji Savanier","Montpellier","5"
"219","Terem Moffi","Lorient","3"
"220","Tetê","Lyon","1"
"221","Thiago Mendes","Lyon","2"
"222","Thilo Kehrer","Paris S-G","2"
"223","Thomas Foket","Reims","2"
"224","Thomas Mangani","Angers","4"
"225","Thomas Monconduit","Lorient","3"
"226","Tiago Djaló","Lille","2"
"227","Timothée Kolodziejczak","Saint-Étienne","2"
"228","Timothee Pembele","Bordeaux","2"
"229","Tino Kadewere","Lyon","1"
"230","Tristan Dingomé","Troyes","2"
"231","Valère Germain","Montpellier","2"
"232","Vanderson","Monaco","1"
"233","Vincent Le Goff","Lorient","2"
"234","Vital N'Simba","Clermont Foot","2"
"235","Wahbi Khazri","Saint-Étienne","4"
"236","Wesley Saïd","Lens","1"
"237","Willem Geubbels","Nantes","1"
"238","Wissam Ben Yedder","Monaco","4"
"239","Wout Faes","Reims","2"
"240","Wylan Cyprien","Nantes","2"
"241","Xavier Chavalerin","Troyes","2"
"242","Xeka","Lille","2"
"243","Xherdan Shaqiri","Lyon","1"
"244","Yacine Adli","Bordeaux","3"
"245","Yoann Touzghar","Troyes","2"
"246","Yohann Magnin","Clermont Foot","2"
"247","Youcef Atal","Nice","2"
"248","Yunis Abdelhamid","Reims","2"
"249","Yusuf Yazıcı","Lille","1"
"250","Zeki Çelik","Lille","2"
